名字,网址,顶级域名
福建物质结构研究所,http://www.fjirsm.cas.cn,fjirsm.cas.cn
城市环境研究所,http://www.iue.cas.cn,iue.cas.cn
南京地质古生物研究所,http://www.nigpas.cas.cn/,nigpas.cas.cn
南京土壤研究所,http://www.issas.cas.cn,issas.cas.cn
南京地理与湖泊研究所,http://www.niglas.cas.cn,niglas.cas.cn
紫金山天文台,http://www.pmo.cas.cn,pmo.cas.cn
苏州纳米技术与纳米仿生研究所,http://www.sinano.cas.cn,sinano.cas.cn
苏州生物医学工程技术研究所,http://www.sibet.cas.cn/,sibet.cas.cn
合肥物质科学研究院,http://www.hf.cas.cn,hf.cas.cn
武汉岩土力学研究所,http://www.whrsm.cas.cn,whrsm.cas.cn
武汉物理与数学研究所,http://www.wipm.cas.cn,wipm.cas.cn
武汉病毒研究所,http://www.whiov.cas.cn,whiov.cas.cn
测量与地球物理研究所,http://www.whigg.cas.cn,whigg.cas.cn
水生生物研究所,http://www.ihb.cas.cn,ihb.cas.cn
武汉植物园,http://www.wbg.cas.cn,wbg.cas.cn
南海海洋研究所,http://www.scsio.cas.cn,scsio.cas.cn
华南植物园,http://www.scib.cas.cn,scib.cas.cn
广州能源研究所,http://www.giec.cas.cn,giec.cas.cn
广州地球化学研究所,http://www.gig.cas.cn,gig.cas.cn
长沙矿产资源勘查中心,http://www.gig.cas.cn/jgsz/glbm/zskczyzx/,gig.cas.cnjgszglbmzskczyzx
广州生物医药与健康研究院,http://www.gibh.cas.cn,gibh.cas.cn
深圳先进技术研究院,http://www.siat.cas.cn,siat.cas.cn
亚热带农业生态研究所,http://www.isa.cas.cn,isa.cas.cn
深海科学与工程研究所,http://www.idsse.cas.cn/,idsse.cas.cn
成都生物研究所,http://www.cib.cas.cn,cib.cas.cn
成都山地灾害与环境研究所,http://www.imde.cas.cn,imde.cas.cn
光电技术研究所,http://www.ioe.cas.cn,ioe.cas.cn
重庆绿色智能技术研究院,http://www.cigit.cas.cn/,cigit.cas.cn
昆明动物研究所,http://www.kiz.cas.cn,kiz.cas.cn
昆明植物研究所,http://www.kib.cas.cn,kib.cas.cn
西双版纳热带植物园,http://www.xtbg.cas.cn,xtbg.cas.cn
地球化学研究所,http://www.gyig.cas.cn,gyig.cas.cn
西安光学精密机械研究所,http://www.opt.cas.cn,opt.cas.cn
国家授时中心,http://www.ntsc.cas.cn,ntsc.cas.cn
地球环境研究所,http://www.ieexa.cas.cn,ieexa.cas.cn
近代物理研究所,http://www.imp.cas.cn,imp.cas.cn
兰州化学物理研究所,http://www.licp.cas.cn,licp.cas.cn
寒区旱区环境与工程研究所,http://www.careeri.cas.cn,careeri.cas.cn
青海盐湖研究所,http://www.isl.cas.cn,isl.cas.cn
西北高原生物研究所,http://www.nwipb.cas.cn,nwipb.cas.cn
新疆理化技术研究所,http://www.xjipc.cas.cn,xjipc.cas.cn
新疆生态与地理研究所,http://www.egi.cas.cn,egi.cas.cn
中国科学报社,http://www.sciencenet.cas.cn,sciencenet.cas.cn
行政管理局,http://ab.cas.cn/,ab.cas.cn
青岛疗养院,http://www.zylhotel.com/,zylhotel.com
庐山疗养院,http://www.hpkbg.com/,hpkbg.com
中国科学院控股有限公司,http://www.casholdings.com.cn,casholdings.com.cn
联想控股股份有限公司,http://www.legendholdings.com.cn/,legendholdings.com.cn
中科实业集团（控股）有限公司,http://www.csh.com.cn/,csh.com.cn
东方科仪控股集团有限公司,http://www.osic.com.cn/,osic.com.cn
中国科技产业投资管理有限公司,http://www.casim.cn/,casim.cn
北京中科科仪股份有限公司,http://www.kyky.com.cn/,kyky.com.cn
北京中科院软件中心有限公司,http://www.sec.ac.cn/,sec.ac.cn
中科院建筑设计研究院有限公司,http://www.adcas.cn/,adcas.cn
北京中科资源有限公司,http://www.zkzy.com.cn/,zkzy.com.cn
中国科学院沈阳计算技术研究所...,http://www.sict.ac.cn/,sict.ac.cn
中国科学院沈阳科学仪器股份有...,http://www.sky.ac.cn/,sky.ac.cn
中科院南京天文仪器有限公司,http://www.nairc.com/,nairc.com
中科院广州化学有限公司,http://www.gic.ac.cn/,gic.ac.cn
中科院广州电子技术有限公司,http://www.giet.ac.cn/,giet.ac.cn
中国科学院成都有机化学有限公司,http://www.cocc.cn,cocc.cn
中科院成都信息技术股份有限公司,http://www.casit.com.cn/,casit.com.cn
成都中科唯实仪器有限责任公司,http://www.cdzkws.com,cdzkws.com
中科院科技服务有限公司,http://www.zkfw.com.cn,zkfw.com.cn
上海碧科清洁能源技术有限公司,http://www.cecc-tech.com,cecc-tech.com
深圳中科院知识产权投资有限公司,http://www.caship.ac.cn,caship.ac.cn
国科嘉和（北京）投资管理有限公司,http://www.cashcapital.cn,cashcapital.cn
北京中科院国际学术交流中心有...,http://www.cise.cn/,cise.cn
中国科学院网络安全和信息化...,http://www.ecas.cas.cn/,ecas.cas.cn
中国科学院妇工委,http://fgw.cas.cn/,fgw.cas.cn
中国科学院青年联合会,http://www.yacas.cn/,yacas.cn
中国科学院团委,http://tuanwei.cas.cn/,tuanwei.cas.cn
中国科学院工会,http://gh.cas.cn/,gh.cas.cn
